"","Abditibacteriota","Acidobacteriota","Actinobacteriota","Armatimonadota","Bacteroidota","Bdellovibrionota","Campylobacterota","Chloroflexi","Cyanobacteria","Dadabacteria","Deferribacterota","Deinococcota","Dependentiae","Desulfobacterota","Elusimicrobiota","Entotheonellaeota","FCPU426","Fibrobacterota","Firmicutes","Fusobacteriota","GAL15","Gemmatimonadota","Hydrogenedentes","Latescibacterota","MBNT15","Methylomirabilota","Myxococcota","NB1.j","Nitrospirota","Patescibacteria","Planctomycetota","Proteobacteria","RCP2.54","SAR324_clade.Marine_group_B.","Spirochaetota","Sumerlaeota","Synergistota","Verrucomicrobiota","WOR.1","WPS.2","WS2","unclassified_Bacteria","Unclassified"
"Organic_acid",0.623837664781073,0.39100221895577,0.39100221895577,0.747060078104662,0.0373860734684985,0.623837664781073,NA,0.504631575468691,0.623837664781073,0.747060078104662,NA,0.623837664781073,0.504631575468691,0.623837664781073,0.623837664781073,0.504631575468691,NA,0.0373860734684985,0.747060078104662,NA,0.623837664781073,1,0.0538542177275421,0.623837664781073,0.623837664781073,0.39100221895577,0.39100221895577,0.39100221895577,0.623837664781073,0.623837664781073,0.0373860734684985,0.0373860734684985,0.872888571569538,0.188120404374187,NA,0.284756979865294,NA,1,NA,0.0373860734684985,0.284756979865294,0.188120404374187,0.0373860734684985
"Phenol_Flavonoid",0.188120404374187,0.0373860734684985,0.0373860734684985,0.188120404374187,0.39100221895577,0,NA,0.504631575468691,0.747060078104662,1,NA,0.39100221895577,0.284756979865294,0.104088038661828,0.104088038661828,0.504631575468691,NA,0.39100221895577,0.188120404374187,NA,0,0.872888571569538,0.492535781702798,0.104088038661828,0.104088038661828,0.0373860734684985,0.284756979865294,0.0373860734684985,0.104088038661828,0,0.284756979865294,0.284756979865294,0.284756979865294,0.623837664781073,NA,0.39100221895577,NA,0.872888571569538,NA,0.872888571569538,0.872888571569538,0.623837664781073,0.872888571569538
"Sugar_Amino",0.39100221895577,0.872888571569538,0.872888571569538,0.623837664781073,0.872888571569538,0.747060078104662,NA,0.284756979865294,0.747060078104662,0.747060078104662,NA,0.188120404374187,1,0.747060078104662,0.747060078104662,0.284756979865294,NA,0.872888571569538,0.623837664781073,NA,0.747060078104662,0.872888571569538,0.740581941591072,0.747060078104662,0.747060078104662,0.872888571569538,0.504631575468691,0.872888571569538,1,0.747060078104662,0.504631575468691,0.504631575468691,0.284756979865294,0.623837664781073,NA,0.872888571569538,NA,0.872888571569538,NA,0.39100221895577,0.872888571569538,0.623837664781073,0.39100221895577
"Alkaloid",0.284756979865294,0.188120404374187,0.188120404374187,0.872888571569538,0,0.39100221895577,NA,0.188120404374187,0.872888571569538,0.39100221895577,NA,1,0.623837664781073,0.504631575468691,0.504631575468691,0.188120404374187,NA,0,0.872888571569538,NA,0.39100221895577,0.623837664781073,0.00481823046819851,0.504631575468691,0.504631575468691,0.188120404374187,0.747060078104662,0.188120404374187,0.872888571569538,0.39100221895577,0.104088038661828,0.104088038661828,0.623837664781073,0.0373860734684985,NA,0.39100221895577,NA,0.623837664781073,NA,0.104088038661828,0.623837664781073,0.284756979865294,0.104088038661828
