Sample,Control,Processing_1,Processing_2,Processing_3,Processing_4
Control,1.0,0.9070435108792915,0.926872049137557,0.9504600883084551,0.9394079100402145
Processing_1,0.9070435108792915,1.0,0.9495296432665327,0.9589472559205853,0.9506906039719945
Processing_2,0.926872049137557,0.9495296432665327,1.0,0.9752845296747005,0.9769442424521837
Processing_3,0.9504600883084551,0.9589472559205853,0.9752845296747005,1.0,0.979366752516288
Processing_4,0.9394079100402145,0.9506906039719945,0.9769442424521837,0.979366752516288,1.0
