Treatment,Compound,log2FC
Aryltetralin lignans,Organooxygen compounds,
Aspidofractine alkaloids,Organooxygen compounds,
Aspidospermatan-type alkaloids,Organooxygen compounds,
Azaphilones,Organooxygen compounds,
Azaspirodecane derivatives,Organooxygen compounds,
Azepanes,Organooxygen compounds,
Azepines,Organooxygen compounds,
Azetidines,Organooxygen compounds,
Azoles,Organooxygen compounds,
Azolidines,Organooxygen compounds,
Benzazepines,Organooxygen compounds,
Benzene and substituted derivatives,Organooxygen compounds,
Benzodiazepines,Organooxygen compounds,
Benzodioxoles,Organooxygen compounds,
Benzofurans,Organooxygen compounds,
Benzophenanthridine alkaloids,Organooxygen compounds,
Benzopyrans,Organooxygen compounds,
Benzothiazoles,Organooxygen compounds,
Benzoxazines,Organooxygen compounds,
Benzoxepines,Organooxygen compounds,
Bi- and oligothiophenes,Organooxygen compounds,
Carboximidic acids and derivatives,Organooxygen compounds,
Carboxylic acids and derivatives,Organooxygen compounds,
Cinnamic acids and derivatives,Organooxygen compounds,
Coumarins and derivatives,Organooxygen compounds,
Cycloheptapyrans,Organooxygen compounds,
Daphniphylline-type alkaloids,Organooxygen compounds,
Depsides and depsidones,Organooxygen compounds,
Diarylheptanoids,Organooxygen compounds,
Diazanaphthalenes,Organooxygen compounds,
Diazines,Organooxygen compounds,
Dibenzylbutane lignans,Organooxygen compounds,
Dihydrofurans,Organooxygen compounds,
Dihydroisoquinolines,Organooxygen compounds,
Dioxanes,Organooxygen compounds,
Ergoline and derivatives,Organooxygen compounds,
Fatty Acyls,Organooxygen compounds,
Flavonoids,Organooxygen compounds,
Fluorenes,Organooxygen compounds,
Furanoid lignans,Organooxygen compounds,
Furans,Organooxygen compounds,
Furofurans,Organooxygen compounds,
Furopyrans,Organooxygen compounds,
Gelsemium alkaloids,Organooxygen compounds,
Glycerolipids,Organooxygen compounds,
Glycerophospholipids,Organooxygen compounds,
Harmala alkaloids,Organooxygen compounds,
Heteroaromatic compounds,Organooxygen compounds,
Hydroxy acids and derivatives,Organooxygen compounds,
Imidazodiazepines,Organooxygen compounds,
Imidazopyrimidines,Organooxygen compounds,
Indanes,Organooxygen compounds,
Indoles and derivatives,Organooxygen compounds,
Indolizidines,Organooxygen compounds,
Indolonaphthyridine alkaloids,Organooxygen compounds,
Isobenzofurans,Organooxygen compounds,
Isocoumarans,Organooxygen compounds,
Isocoumarins and derivatives,Organooxygen compounds,
Isoflavonoids,Organooxygen compounds,
Isoindoles and derivatives,Organooxygen compounds,
Isoquinolines and derivatives,Organooxygen compounds,
Keto acids and derivatives,Organooxygen compounds,
Lactams,Organooxygen compounds,
Lactones,Organooxygen compounds,
"Linear 1,3-diarylpropanoids",Organooxygen compounds,
Lupin alkaloids,Organooxygen compounds,
Macrolactams,Organooxygen compounds,
Macrolide lactams,Organooxygen compounds,
Macrolides and analogues,Organooxygen compounds,
Naphthacenes,Organooxygen compounds,
Naphthalenes,Organooxygen compounds,
Naphthofurans,Organooxygen compounds,
Naphthopyrans,Organooxygen compounds,
Neoflavonoids,Organooxygen compounds,
Organic carbonic acids and derivatives,Organooxygen compounds,
Organic oxides,Organooxygen compounds,
Organic phosphonic acids and derivatives,Organooxygen compounds,
Organic phosphoric acids and derivatives,Organooxygen compounds,
Organic sulfonic acids and derivatives,Organooxygen compounds,
Organic sulfuric acids and derivatives,Organooxygen compounds,
Organochlorides,Organooxygen compounds,
Organonitrogen compounds,Organooxygen compounds,
Organooxygen compounds,Organooxygen compounds,
Other mixed metal/non-metal oxoanionic compounds,Organooxygen compounds,
Oxanes,Organooxygen compounds,
Oxepanes,Organooxygen compounds,
Oxocins,Organooxygen compounds,
Peptidomimetics,Organooxygen compounds,
Perylenequinones,Organooxygen compounds,
Phenanthrenes and derivatives,Organooxygen compounds,
Phenol esters,Organooxygen compounds,
Phenol ethers,Organooxygen compounds,
Phenols,Organooxygen compounds,
Phenylpropanoic acids,Organooxygen compounds,
Piperidines,Organooxygen compounds,
Plumeran-type alkaloids,Organooxygen compounds,
Polycyclic hydrocarbons,Organooxygen compounds,
Prenol lipids,Organooxygen compounds,
Processing_1,Organooxygen compounds,
Processing_2,Organooxygen compounds,
Processing_3,Organooxygen compounds,
Processing_4,Organooxygen compounds,
Pteridines and derivatives,Organooxygen compounds,
Purine nucleosides,Organooxygen compounds,
Pyrans,Organooxygen compounds,
Pyridines and derivatives,Organooxygen compounds,
Pyridopyrimidines,Organooxygen compounds,
Pyrimidine nucleosides,Organooxygen compounds,
Pyrroles,Organooxygen compounds,
Pyrrolidines,Organooxygen compounds,
Pyrrolines,Organooxygen compounds,
Pyrrolizidines,Organooxygen compounds,
Pyrrolizines,Organooxygen compounds,
Quinolines and derivatives,Organooxygen compounds,
Quinolizidines,Organooxygen compounds,
Quinolizines,Organooxygen compounds,
Saccharolipids,Organooxygen compounds,
"Saxitoxins, gonyautoxins, and derivatives",Organooxygen compounds,
Sphingolipids,Organooxygen compounds,
Steroids and steroid derivatives,Organooxygen compounds,
Stilbenes,Organooxygen compounds,
Strychnos alkaloids,Organooxygen compounds,
Sulfoxides,Organooxygen compounds,
Tannins,Organooxygen compounds,
Tetrahydrofurans,Organooxygen compounds,
Tetrahydroisoquinolines,Organooxygen compounds,
Tetralins,Organooxygen compounds,
Tetrapyrroles and derivatives,Organooxygen compounds,
Thiazinanes,Organooxygen compounds,
Thiosulfinic acid esters,Organooxygen compounds,
Trithiolanes,Organooxygen compounds,
Tropane alkaloids,Organooxygen compounds,
Tropones,Organooxygen compounds,
Unclassified,Organooxygen compounds,
Unsaturated hydrocarbons,Organooxygen compounds,
Vinylogous acids,Organooxygen compounds,
2-arylbenzofuran flavonoids,Hydroxy acids and derivatives,
5'-deoxyribonucleosides,Hydroxy acids and derivatives,
Acenaphthylenes,Hydroxy acids and derivatives,
Acyl halides,Hydroxy acids and derivatives,
"Allyl-type 1,3-dipolar organic compounds",Hydroxy acids and derivatives,
Amaryllidaceae alkaloids,Hydroxy acids and derivatives,
Angucyclines,Hydroxy acids and derivatives,
Anthracenes,Hydroxy acids and derivatives,
Aporphines,Hydroxy acids and derivatives,
Arylnaphthalene lignans,Hydroxy acids and derivatives,
Aryltetralin lignans,Hydroxy acids and derivatives,
Aspidofractine alkaloids,Hydroxy acids and derivatives,
Aspidospermatan-type alkaloids,Hydroxy acids and derivatives,
Azaphilones,Hydroxy acids and derivatives,
Azaspirodecane derivatives,Hydroxy acids and derivatives,
Azepanes,Hydroxy acids and derivatives,
Azepines,Hydroxy acids and derivatives,
Azetidines,Hydroxy acids and derivatives,
Azoles,Hydroxy acids and derivatives,
Azolidines,Hydroxy acids and derivatives,
Benzazepines,Hydroxy acids and derivatives,
Benzene and substituted derivatives,Hydroxy acids and derivatives,
Benzodiazepines,Hydroxy acids and derivatives,
Benzodioxoles,Hydroxy acids and derivatives,
Benzofurans,Hydroxy acids and derivatives,
Benzophenanthridine alkaloids,Hydroxy acids and derivatives,
Benzopyrans,Hydroxy acids and derivatives,
Benzothiazoles,Hydroxy acids and derivatives,
Benzoxazines,Hydroxy acids and derivatives,
Benzoxepines,Hydroxy acids and derivatives,
Bi- and oligothiophenes,Hydroxy acids and derivatives,
Carboximidic acids and derivatives,Hydroxy acids and derivatives,
Carboxylic acids and derivatives,Hydroxy acids and derivatives,
Cinnamic acids and derivatives,Hydroxy acids and derivatives,
Coumarins and derivatives,Hydroxy acids and derivatives,
Cycloheptapyrans,Hydroxy acids and derivatives,
Daphniphylline-type alkaloids,Hydroxy acids and derivatives,
Depsides and depsidones,Hydroxy acids and derivatives,
Diarylheptanoids,Hydroxy acids and derivatives,
Diazanaphthalenes,Hydroxy acids and derivatives,
Diazines,Hydroxy acids and derivatives,
Dibenzylbutane lignans,Hydroxy acids and derivatives,
Dihydrofurans,Hydroxy acids and derivatives,
Dihydroisoquinolines,Hydroxy acids and derivatives,
Dioxanes,Hydroxy acids and derivatives,
Ergoline and derivatives,Hydroxy acids and derivatives,
Fatty Acyls,Hydroxy acids and derivatives,
Flavonoids,Hydroxy acids and derivatives,
Fluorenes,Hydroxy acids and derivatives,
Furanoid lignans,Hydroxy acids and derivatives,
Furans,Hydroxy acids and derivatives,
Furofurans,Hydroxy acids and derivatives,
Furopyrans,Hydroxy acids and derivatives,
Gelsemium alkaloids,Hydroxy acids and derivatives,
Glycerolipids,Hydroxy acids and derivatives,
Glycerophospholipids,Hydroxy acids and derivatives,
Harmala alkaloids,Hydroxy acids and derivatives,
Heteroaromatic compounds,Hydroxy acids and derivatives,
Hydroxy acids and derivatives,Hydroxy acids and derivatives,
Imidazodiazepines,Hydroxy acids and derivatives,
Imidazopyrimidines,Hydroxy acids and derivatives,
Indanes,Hydroxy acids and derivatives,
Indoles and derivatives,Hydroxy acids and derivatives,
Indolizidines,Hydroxy acids and derivatives,
Indolonaphthyridine alkaloids,Hydroxy acids and derivatives,
Isobenzofurans,Hydroxy acids and derivatives,
Isocoumarans,Hydroxy acids and derivatives,
Isocoumarins and derivatives,Hydroxy acids and derivatives,
Isoflavonoids,Hydroxy acids and derivatives,
Isoindoles and derivatives,Hydroxy acids and derivatives,
Isoquinolines and derivatives,Hydroxy acids and derivatives,
Keto acids and derivatives,Hydroxy acids and derivatives,
Lactams,Hydroxy acids and derivatives,
Lactones,Hydroxy acids and derivatives,
"Linear 1,3-diarylpropanoids",Hydroxy acids and derivatives,
Lupin alkaloids,Hydroxy acids and derivatives,
Macrolactams,Hydroxy acids and derivatives,
Macrolide lactams,Hydroxy acids and derivatives,
Macrolides and analogues,Hydroxy acids and derivatives,
Naphthacenes,Hydroxy acids and derivatives,
Naphthalenes,Hydroxy acids and derivatives,
Naphthofurans,Hydroxy acids and derivatives,
Naphthopyrans,Hydroxy acids and derivatives,
Neoflavonoids,Hydroxy acids and derivatives,
Organic carbonic acids and derivatives,Hydroxy acids and derivatives,
Organic oxides,Hydroxy acids and derivatives,
Organic phosphonic acids and derivatives,Hydroxy acids and derivatives,
Organic phosphoric acids and derivatives,Hydroxy acids and derivatives,
Organic sulfonic acids and derivatives,Hydroxy acids and derivatives,
Organic sulfuric acids and derivatives,Hydroxy acids and derivatives,
Organochlorides,Hydroxy acids and derivatives,
Organonitrogen compounds,Hydroxy acids and derivatives,
Organooxygen compounds,Hydroxy acids and derivatives,
Other mixed metal/non-metal oxoanionic compounds,Hydroxy acids and derivatives,
Oxanes,Hydroxy acids and derivatives,
Oxepanes,Hydroxy acids and derivatives,
Oxocins,Hydroxy acids and derivatives,
Peptidomimetics,Hydroxy acids and derivatives,
Perylenequinones,Hydroxy acids and derivatives,
Phenanthrenes and derivatives,Hydroxy acids and derivatives,
Phenol esters,Hydroxy acids and derivatives,
Phenol ethers,Hydroxy acids and derivatives,
Phenols,Hydroxy acids and derivatives,
Phenylpropanoic acids,Hydroxy acids and derivatives,
Piperidines,Hydroxy acids and derivatives,
Plumeran-type alkaloids,Hydroxy acids and derivatives,
Polycyclic hydrocarbons,Hydroxy acids and derivatives,
Prenol lipids,Hydroxy acids and derivatives,
Processing_1,Hydroxy acids and derivatives,
Processing_2,Hydroxy acids and derivatives,
Processing_3,Hydroxy acids and derivatives,
Processing_4,Hydroxy acids and derivatives,
Pteridines and derivatives,Hydroxy acids and derivatives,
Purine nucleosides,Hydroxy acids and derivatives,
Pyrans,Hydroxy acids and derivatives,
Pyridines and derivatives,Hydroxy acids and derivatives,
Pyridopyrimidines,Hydroxy acids and derivatives,
Pyrimidine nucleosides,Hydroxy acids and derivatives,
Pyrroles,Hydroxy acids and derivatives,
Pyrrolidines,Hydroxy acids and derivatives,
Pyrrolines,Hydroxy acids and derivatives,
Pyrrolizidines,Hydroxy acids and derivatives,
Pyrrolizines,Hydroxy acids and derivatives,
Quinolines and derivatives,Hydroxy acids and derivatives,
Quinolizidines,Hydroxy acids and derivatives,
Quinolizines,Hydroxy acids and derivatives,
Saccharolipids,Hydroxy acids and derivatives,
"Saxitoxins, gonyautoxins, and derivatives",Hydroxy acids and derivatives,
Sphingolipids,Hydroxy acids and derivatives,
Steroids and steroid derivatives,Hydroxy acids and derivatives,
Stilbenes,Hydroxy acids and derivatives,
Strychnos alkaloids,Hydroxy acids and derivatives,
Sulfoxides,Hydroxy acids and derivatives,
Tannins,Hydroxy acids and derivatives,
Tetrahydrofurans,Hydroxy acids and derivatives,
Tetrahydroisoquinolines,Hydroxy acids and derivatives,
Tetralins,Hydroxy acids and derivatives,
Tetrapyrroles and derivatives,Hydroxy acids and derivatives,
Thiazinanes,Hydroxy acids and derivatives,
Thiosulfinic acid esters,Hydroxy acids and derivatives,
Trithiolanes,Hydroxy acids and derivatives,
Tropane alkaloids,Hydroxy acids and derivatives,
Tropones,Hydroxy acids and derivatives,
Unclassified,Hydroxy acids and derivatives,
Unsaturated hydrocarbons,Hydroxy acids and derivatives,
Vinylogous acids,Hydroxy acids and derivatives,
2-arylbenzofuran flavonoids,Organic phosphonic acids and derivatives,
5'-deoxyribonucleosides,Organic phosphonic acids and derivatives,
Acenaphthylenes,Organic phosphonic acids and derivatives,
Acyl halides,Organic phosphonic acids and derivatives,
"Allyl-type 1,3-dipolar organic compounds",Organic phosphonic acids and derivatives,
Amaryllidaceae alkaloids,Organic phosphonic acids and derivatives,
Angucyclines,Organic phosphonic acids and derivatives,
Anthracenes,Organic phosphonic acids and derivatives,
Aporphines,Organic phosphonic acids and derivatives,
Arylnaphthalene lignans,Organic phosphonic acids and derivatives,
Aryltetralin lignans,Organic phosphonic acids and derivatives,
Aspidofractine alkaloids,Organic phosphonic acids and derivatives,
Aspidospermatan-type alkaloids,Organic phosphonic acids and derivatives,
Azaphilones,Organic phosphonic acids and derivatives,
Azaspirodecane derivatives,Organic phosphonic acids and derivatives,
Azepanes,Organic phosphonic acids and derivatives,
Azepines,Organic phosphonic acids and derivatives,
Azetidines,Organic phosphonic acids and derivatives,
Azoles,Organic phosphonic acids and derivatives,
Azolidines,Organic phosphonic acids and derivatives,
Benzazepines,Organic phosphonic acids and derivatives,
Benzene and substituted derivatives,Organic phosphonic acids and derivatives,
Benzodiazepines,Organic phosphonic acids and derivatives,
Benzodioxoles,Organic phosphonic acids and derivatives,
Benzofurans,Organic phosphonic acids and derivatives,
Benzophenanthridine alkaloids,Organic phosphonic acids and derivatives,
Benzopyrans,Organic phosphonic acids and derivatives,
Benzothiazoles,Organic phosphonic acids and derivatives,
Benzoxazines,Organic phosphonic acids and derivatives,
Benzoxepines,Organic phosphonic acids and derivatives,
Bi- and oligothiophenes,Organic phosphonic acids and derivatives,
Carboximidic acids and derivatives,Organic phosphonic acids and derivatives,
Carboxylic acids and derivatives,Organic phosphonic acids and derivatives,
Cinnamic acids and derivatives,Organic phosphonic acids and derivatives,
Coumarins and derivatives,Organic phosphonic acids and derivatives,
Cycloheptapyrans,Organic phosphonic acids and derivatives,
Daphniphylline-type alkaloids,Organic phosphonic acids and derivatives,
Depsides and depsidones,Organic phosphonic acids and derivatives,
Diarylheptanoids,Organic phosphonic acids and derivatives,
Diazanaphthalenes,Organic phosphonic acids and derivatives,
Diazines,Organic phosphonic acids and derivatives,
Dibenzylbutane lignans,Organic phosphonic acids and derivatives,
Dihydrofurans,Organic phosphonic acids and derivatives,
Dihydroisoquinolines,Organic phosphonic acids and derivatives,
Dioxanes,Organic phosphonic acids and derivatives,
Ergoline and derivatives,Organic phosphonic acids and derivatives,
Fatty Acyls,Organic phosphonic acids and derivatives,
Flavonoids,Organic phosphonic acids and derivatives,
Fluorenes,Organic phosphonic acids and derivatives,
Furanoid lignans,Organic phosphonic acids and derivatives,
Furans,Organic phosphonic acids and derivatives,
Furofurans,Organic phosphonic acids and derivatives,
Furopyrans,Organic phosphonic acids and derivatives,
Gelsemium alkaloids,Organic phosphonic acids and derivatives,
Glycerolipids,Organic phosphonic acids and derivatives,
Glycerophospholipids,Organic phosphonic acids and derivatives,
Harmala alkaloids,Organic phosphonic acids and derivatives,
Heteroaromatic compounds,Organic phosphonic acids and derivatives,
Hydroxy acids and derivatives,Organic phosphonic acids and derivatives,
Imidazodiazepines,Organic phosphonic acids and derivatives,
Imidazopyrimidines,Organic phosphonic acids and derivatives,
Indanes,Organic phosphonic acids and derivatives,
Indoles and derivatives,Organic phosphonic acids and derivatives,
Indolizidines,Organic phosphonic acids and derivatives,
Indolonaphthyridine alkaloids,Organic phosphonic acids and derivatives,
Isobenzofurans,Organic phosphonic acids and derivatives,
Isocoumarans,Organic phosphonic acids and derivatives,
Isocoumarins and derivatives,Organic phosphonic acids and derivatives,
Isoflavonoids,Organic phosphonic acids and derivatives,
