Sample,Unclassified,Fatty Acyls,Organooxygen compounds,Hydroxy acids and derivatives,Organic phosphonic acids and derivatives,Heteroaromatic compounds,Phenols,Organic sulfuric acids and derivatives,Diazines,Organic carbonic acids and derivatives,Keto acids and derivatives,Dihydrofurans,Lactones,Organic sulfonic acids and derivatives,Carboxylic acids and derivatives,Benzene and substituted derivatives,Azoles,Quinolines and derivatives,Cinnamic acids and derivatives,Benzothiazoles,Imidazopyrimidines,Pyrans,Tropane alkaloids,Other mixed metal/non-metal oxoanionic compounds,Pyridines and derivatives,Phenol ethers,Indolizidines,Indoles and derivatives,Thiazinanes,Thiosulfinic acid esters,Isocoumarans,Phenylpropanoic acids,Furans,Prenol lipids,Benzopyrans,Naphthalenes,Coumarins and derivatives,Naphthofurans,Isoquinolines and derivatives,Azepines,Furopyrans,Benzofurans,Sulfoxides,Anthracenes,Pyrimidine nucleosides,Benzodioxoles,Diazanaphthalenes,Phenanthrenes and derivatives,Oxocins,Organonitrogen compounds,Oxepanes,Naphthopyrans,Bi- and oligothiophenes,Organochlorides,Azaphilones,Tetrahydroisoquinolines,Purine nucleosides,Dioxanes,Isoflavonoids,Benzoxazines,2-arylbenzofuran flavonoids,Flavonoids,Macrolides and analogues,Vinylogous acids,Piperidines,Stilbenes,"Linear 1,3-diarylpropanoids",Amaryllidaceae alkaloids,Benzodiazepines,Steroids and steroid derivatives,Diarylheptanoids,Tetralins,Furanoid lignans,Acyl halides,Isobenzofurans,Furofurans,Indanes,Fluorenes,Angucyclines,Aryltetralin lignans,Carboximidic acids and derivatives,Perylenequinones,Oxanes,Pyridopyrimidines,Benzophenanthridine alkaloids,Sphingolipids,Isoindoles and derivatives,Arylnaphthalene lignans,Depsides and depsidones,Plumeran-type alkaloids,Neoflavonoids,Glycerophospholipids,Peptidomimetics,Macrolactams,Strychnos alkaloids,Pyrrolidines,Tetrahydrofurans,Unsaturated hydrocarbons,Polycyclic hydrocarbons,Lactams,Organic phosphoric acids and derivatives,Acenaphthylenes,Quinolizines,Imidazodiazepines,"Allyl-type 1,3-dipolar organic compounds",Organic oxides,Pteridines and derivatives,Azepanes,Harmala alkaloids,Azaspirodecane derivatives,Pyrroles,Dihydroisoquinolines,Isocoumarins and derivatives,Benzazepines,Phenol esters,Indolonaphthyridine alkaloids,Trithiolanes,Pyrrolizidines,Ergoline and derivatives,Lupin alkaloids,Azolidines,Pyrrolizines,"Saxitoxins, gonyautoxins, and derivatives",Benzoxepines,Quinolizidines,5'-deoxyribonucleosides,Glycerolipids,Azetidines,Gelsemium alkaloids,Pyrrolines,Daphniphylline-type alkaloids,Aspidospermatan-type alkaloids,Tropones,Aporphines,Dibenzylbutane lignans,Aspidofractine alkaloids,Naphthacenes,Cycloheptapyrans,Tannins,Tetrapyrroles and derivatives,Macrolide lactams,Saccharolipids
Control,11.810770548535729,0.5059561621589908,-0.06376708080722553,-0.09260914535256666,-0.09286946696665588,-0.0909762934872408,-0.0857616891236543,-0.08756956006079096,-0.09277825207339736,-0.09317211618526337,-0.09341134313613611,-0.09306261678515856,-0.0721293676545211,-0.09335090347127888,-0.08056199366280553,-0.07570626787093569,-0.09313841664060696,-0.09152966722157573,-0.08889976170832141,-0.09335463241073322,-0.09241782933165302,-0.0897596453091016,-0.09255406971926493,-0.09347901180356416,-0.09232839536877606,-0.0928212234608776,-0.09291471933552606,-0.0868811727114204,-0.09350972648424505,-0.09349029209207395,-0.09348937210871298,-0.09328207029227002,-0.09348043666282496,-0.02775855571941865,-0.06366812293608143,-0.09316116981230037,-0.08019505151378399,-0.09253083609946458,-0.09346441101621952,-0.09350405062836373,-0.09348769087513763,-0.09243380599336691,-0.09289489457394245,-0.0933427963068665,-0.09260141142965604,-0.09350064813784983,-0.09347186718379605,-0.09333309883491762,-0.09338168485094442,-0.06277911810024057,-0.09340359108186407,-0.09044587891030821,-0.093172598569665,-0.09308102927333181,-0.09351251061823622,-0.09195245193716146,-0.0908560302196374,-0.09329232715121434,-0.08771943722893219,-0.09350678414733343,-0.09302628541038029,-0.08516228624888553,-0.08726797762066106,-0.09347298624795486,-0.09004787775345564,-0.09118927851303116,-0.09274987336659908,-0.09345537168887712,-0.09350839743741376,-0.08101592141908784,-0.09294518631489748,-0.09323937503760663,-0.0931911352447053,-0.09350853095088066,-0.09349509609784122,-0.08919682856118466,-0.0907764970717079,-0.09337590050245893,-0.09331608548509826,-0.09351295097033788,0.3082346799823144,-0.09346663250089429,-0.09247728570797346,-0.0934481200529805,-0.09342634973363143,-0.09244375420402064,-0.0933733627899997,-0.09342001336202652,-0.09345976633516452,-0.09345530363464788,-0.09343943485085136,-0.0906374175575752,-0.08828796844491515,-0.09340704297695039,-0.09349252768159796,-0.08502456972483569,-0.0932283376384381,-0.09026502610738726,-0.09295766070308475,-0.09328060186529799,-0.09299827846582417,-0.09341818463720615,-0.09260913269908522,-0.09335020214479808,-0.09344112041292986,-0.09339410015471913,-0.0934538836062266,-0.09334563172213549,-0.09328734418369689,-0.09257753563104676,-0.09340747174604357,-0.09349336101568627,-0.09341115110346634,-0.09347450651857729,-0.09335460356401337,-0.09348717071670958,-0.08094764471381591,-0.0913969345310495,-0.09345817679198053,-0.09344392297245759,-0.09307705735469339,-0.09336862477347073,-0.09348803342979764,-0.09184287712756471,-0.09344402598773924,-0.09335602983714551,-0.09172170594869768,-0.09350588448012338,-0.09297553019950815,-0.09351240771231717,-0.09330869165456648,-0.09311030655449443,-0.09349852387812788,-0.09350626513399588,-0.09341062979104194,-0.09347281999509992,-0.09344210171536084,-0.09349358286811088,-0.09349794253120311,-0.09350030820672732,-0.09327994577505394,-0.0934443281261744
Processing_1,11.812263056922571,0.4553364476986684,-0.06261618375415974,-0.09235475003378198,-0.09270331751701287,-0.09169540856421436,-0.08811281167861065,-0.09169969923093173,-0.09293366902388461,-0.09279824026305661,-0.09312211455491007,-0.09264514207525308,-0.08134856801678439,-0.09311793745336834,-0.08050831916454358,-0.07650617853396029,-0.09311353234507268,-0.0915932335711939,-0.0889902169677411,-0.09304484433183105,-0.09274727875741363,-0.08879043779055049,-0.09107760785675925,-0.0931792919430966,-0.09218671454548359,-0.09247041164402345,-0.09250297238252894,-0.08236967650718424,-0.09321590682516608,-0.09321309839678128,-0.09320077900158358,-0.09294785064609769,-0.09321496394403178,-0.02936247242019445,-0.07187541463071097,-0.09297507449517993,-0.09154153801027572,-0.0924052410155273,-0.0931716374559858,-0.09320627699478054,-0.09321036750078461,-0.09201266465360136,-0.09243357613505016,-0.09312993559737565,-0.09297961920841376,-0.09320842009761883,-0.09315269907637773,-0.09294308400759711,-0.09303215804981499,-0.04830528825785397,-0.09311802358946954,-0.0911266434869992,-0.09279414160875635,-0.09319929158076116,-0.09321585146885826,-0.09117536640233345,-0.09221636511030748,-0.09297719783486885,-0.09210646348487694,-0.0932040184467807,-0.09318197504662701,-0.08444705121037387,-0.08430878961748942,-0.09319021191713649,-0.08918011244230736,-0.0909543560270053,-0.09250774900879753,-0.0931490245888698,-0.09321250175895576,-0.0798283150370455,-0.09253482193503498,-0.09283671074668537,-0.09276162314984004,-0.09321628943016197,-0.09321623240326835,-0.08847695506992052,-0.09185164405450176,-0.09318311454009152,-0.09315197764644327,-0.09321659608396107,0.33503647996903524,-0.09315721296880314,-0.09266579386246267,-0.09319613595125187,-0.0930976401317671,-0.09222650320603497,-0.09309507907870881,-0.09315302189854884,-0.09318924604099883,-0.0931390594965359,-0.0931914974787541,-0.08909166824612573,-0.0874242018986333,-0.09247081345750316,-0.09255665471883083,-0.08226357360210113,-0.09281664534511169,-0.09001360568943602,-0.09280021923216336,-0.09313973937479725,-0.09228455052403205,-0.09310573521974208,-0.09253343556007264,-0.09315740569161005,-0.09311357145970739,-0.09301156374894429,-0.09316977121986612,-0.0928338027651168,-0.09311152979253845,-0.0924768845922467,-0.09314618653530896,-0.09313195592049799,-0.09316338618387343,-0.09319607185923504,-0.09292078594513042,-0.09321474290449822,-0.0768381856896987,-0.09062193114162137,-0.0932051306500267,-0.09315536637274166,-0.09258773152117258,-0.09302901755869845,-0.09316413930345079,-0.09315926375464008,-0.09314696211990683,-0.09318245246094717,-0.09175796266834897,-0.09306928915401254,-0.09256052713232713,-0.09297620681995238,-0.09316970239592567,-0.09314974999651796,-0.09319891095516268,-0.09321523791331159,-0.09311194494059799,-0.093203517021914,-0.09315219315129283,-0.09318914835419684,-0.09318712753596145,-0.09319988759570395,-0.09248471054335484,-0.09315395658111707
Processing_2,11.808591276163067,0.5169466560073286,-0.06668645736846339,-0.0928063101426329,-0.09318223825787578,-0.09267121539149019,-0.0890087353890046,-0.09213301633619167,-0.09340831203242678,-0.09326587077611029,-0.09351364325114908,-0.0931998727886676,-0.08859734571047193,-0.09344463096299721,-0.08208185383644306,-0.07642729953958875,-0.0935926689251139,-0.09201013267330264,-0.0863132933746621,-0.09346891259842305,-0.09297542877626645,-0.08987916680323708,-0.09195033010761144,-0.09360168113034223,-0.09277159604175766,-0.0930823856885953,-0.09298378419330683,-0.08338833390788347,-0.09363973481511999,-0.09363829040624358,-0.09362800056965645,-0.09337132939347749,-0.09364003401474323,-0.01936862478404801,-0.07477293126708734,-0.09338350696794237,-0.09188677634551974,-0.09273705613818427,-0.09360272009846489,-0.09362991363060433,-0.0936356482114606,-0.09234944243231921,-0.09282114154037273,-0.09248027216196279,-0.09344140848094937,-0.09363884741955615,-0.09359141900484792,-0.0930949330816829,-0.0934612680598472,-0.06138310958003324,-0.09353556166356002,-0.09134966245850742,-0.09325718153534644,-0.09316020684465669,-0.09364117928974587,-0.09171989017855288,-0.09293817321051127,-0.09341507352107528,-0.09279350422250861,-0.09363367654527124,-0.09360804732647594,-0.08476074256800946,-0.08704511019879677,-0.09357791336897231,-0.08976175251584238,-0.0912526223872719,-0.09318267794919288,-0.09357332483191776,-0.09363717717256803,-0.08007032195726763,-0.09080417573503198,-0.09344265129417696,-0.09312036414546185,-0.09363679308063491,-0.09363875475082409,-0.09212697400170483,-0.09187689482814516,-0.0936072116339122,-0.09360264551702764,-0.09364148265506686,0.3536182372218669,-0.09357249804735834,-0.0932588108234712,-0.09361182555784076,-0.09345064198591575,-0.09239058054198197,-0.09348542067089732,-0.09356586760585023,-0.09359092183123645,-0.09356169383819884,-0.09362372918734936,-0.09003784639651362,-0.08693698438707212,-0.09325288272564833,-0.09334804642538982,-0.08310427816738065,-0.09328464022239288,-0.09062937140392131,-0.09316540588750485,-0.09331420224680619,-0.093096565009556,-0.09353384728101492,-0.09290235727427117,-0.09357167970486378,-0.093556664159819,-0.09354262349894787,-0.09358047866976428,-0.09341411478427875,-0.09351819396778296,-0.09300805757609336,-0.09357226023723382,-0.09359294790532512,-0.0935858342856941,-0.09361960565865363,-0.09320052925214418,-0.09363929504131206,-0.07623082210560848,-0.09208072736150183,-0.09363661265842577,-0.09358173437205591,-0.09316862828043967,-0.09351074913747363,-0.09359997739068585,-0.09361932071307848,-0.09359341342176433,-0.09361264361074652,-0.09213081138959532,-0.09363139140216828,-0.09287468472931158,-0.09364127156836187,-0.09346467881668352,-0.09321978555965388,-0.09362427174833801,-0.09363962358917234,-0.09354907520216682,-0.09364110517423048,-0.09361290919051492,-0.09361717021228412,-0.09362569046604294,-0.09361926044542447,-0.09193653838922956,-0.09351989840164256
Processing_3,11.80815031479899,0.5475559626136104,-0.05389133518051972,-0.0928908941184563,-0.09318789285244354,-0.09218124086168006,-0.0891271122078455,-0.09249612349514769,-0.09333803271246122,-0.09329344552699798,-0.09354700984474387,-0.09313850585254126,-0.07790137643150208,-0.09346490481278687,-0.0800452992471038,-0.07299004719178367,-0.09354290867261435,-0.09177853818376208,-0.09038462137536982,-0.09348269337766392,-0.09316725475136678,-0.08962703179094146,-0.09166661093060288,-0.09359663782942546,-0.09268689795969375,-0.09280005055950757,-0.09300787567089794,-0.08810475831473762,-0.09363165787701795,-0.09362815405775432,-0.09362489518152005,-0.09339133527626904,-0.09363119753016406,-0.035252598713951665,-0.07728180946731009,-0.09340835881826548,-0.09205684542780024,-0.09262612391178217,-0.09359093469170159,-0.09362503041207378,-0.09362995064609361,-0.09249550608274683,-0.09287729767516635,-0.09355817343233132,-0.09345151464911411,-0.09363073392241164,-0.0935757723793659,-0.0932349818903285,-0.09348326943677913,-0.05547602922412897,-0.09351101805699419,-0.09131705383001283,-0.09330167633222687,-0.09308853062805826,-0.09362755863663032,-0.09157130392175641,-0.09278944360924922,-0.09339557229166169,-0.09259672531506621,-0.09362802953046992,-0.09355419560879694,-0.0855599194703799,-0.08753351327833102,-0.09356874323896867,-0.0903039658692047,-0.09129508268717562,-0.09299973131613244,-0.09357154285917112,-0.09362897842497533,-0.08143971658237065,-0.09313055832200753,-0.09332666428601347,-0.09314457995789371,-0.09362969012386488,-0.09363215742624922,-0.09064023663206634,-0.09208204691848647,-0.09361853778663326,-0.09356933464368976,-0.093632546771589,0.3222914121634539,-0.09359343252071557,-0.09312963704747193,-0.09361057003803601,-0.09346692855299779,-0.0923883603175652,-0.09352620075135346,-0.09357700049060032,-0.09361125728314214,-0.09355199360620654,-0.09357848155767974,-0.08992888918815399,-0.08716784461202225,-0.09334767684258638,-0.09346345249039659,-0.08512969146624415,-0.09332318336988923,-0.09039803762085806,-0.09304970975890564,-0.09360423331302364,-0.0931003535061327,-0.09353586127452151,-0.0927273021743178,-0.09352462919770366,-0.09355125768895566,-0.0934828066071789,-0.09357917634958215,-0.09335098334064709,-0.09349984771821056,-0.09299460475780003,-0.09356695221984868,-0.0936032239744795,-0.0935825568703207,-0.0936069902001792,-0.09334788149718945,-0.09363015660125096,-0.07751556335247511,-0.09136524308217257,-0.09362305733577297,-0.09356023884978079,-0.09310616229990645,-0.09348737947762037,-0.0935900350488768,-0.09353376787033013,-0.09357859513386921,-0.09360434669576306,-0.09219892799623726,-0.09362082756129791,-0.09281644344129676,-0.09363174050367494,-0.09353311856199266,-0.09332792803659576,-0.09361858057047313,-0.09362869001579853,-0.09357322382703305,-0.09362151682167642,-0.09359764136997,-0.09361072531694264,-0.09361353050429821,-0.09361730295628137,-0.09211537301339033,-0.09358664031356244
Processing_4,11.807127880197395,0.5538406569971299,-0.06593335672348977,-0.09296346805024025,-0.09329866363396544,-0.09241248875284594,-0.08878320424531075,-0.09102756107690135,-0.09357891802594542,-0.09338587054605973,-0.09369405422723012,-0.09353147473703644,-0.08765533020579891,-0.09363202668116055,-0.08223867169337669,-0.07680505315809569,-0.09370230054654385,-0.09219916805271175,-0.09104558170737827,-0.09362099361440149,-0.09343165306477202,-0.0899171575159777,-0.09233465228520368,-0.0937569724212178,-0.09305349904996252,-0.09300627114976677,-0.0931310154604479,-0.0818587675071444,-0.0937982279751632,-0.09379639278422684,-0.09379128575575703,-0.0935378008287982,-0.09379951943958437,-0.033433076644835115,-0.0737054474730524,-0.09355933398514234,-0.09203246257349455,-0.09221736298156913,-0.09375442440654243,-0.09379277893021261,-0.09375999250537996,-0.09242560920841915,-0.09305056782130325,-0.09373615737253599,-0.09369399291405157,-0.09379607780441351,-0.09374227884936424,-0.09335602790552022,-0.09360653587592578,-0.059335260090551775,-0.09366476722065399,-0.09159124651011483,-0.09333737835081557,-0.09327604834579312,-0.09380052884033936,-0.09175452087821732,-0.09332694558428767,-0.09353593187547085,-0.089413435676071,-0.09379573587756664,-0.09374682152995623,-0.07132505889745835,-0.08755344381019786,-0.09372163522374417,-0.09025898463486906,-0.091505661841788,-0.0930945341827837,-0.09373244975098512,-0.09379552289375058,-0.08145994392097022,-0.0933221419431128,-0.09361195572982405,-0.09324158352125257,-0.09378593105003699,-0.0938008073980449,-0.09279663573743868,-0.09210241006287072,-0.09376510875610586,-0.0937150278964702,-0.09380098571530437,0.34209518354453533,-0.09374349838986079,-0.09328696795850797,-0.09378334155818531,-0.09372889890978309,-0.09232740190444855,-0.09362640309928735,-0.0937332450755396,-0.09373004747074126,-0.09371055625012467,-0.09375892147805966,-0.0905350292424347,-0.08641817933455022,-0.09350115999157887,-0.09351965634019542,-0.08612989589313104,-0.09338655948273523,-0.09092870132328157,-0.09318588189856698,-0.09348103945242009,-0.09314395944198792,-0.09361452901143855,-0.09318486866207609,-0.09372327688847011,-0.09369030447209205,-0.09370417747331257,-0.0937250699218803,-0.09361083633876667,-0.09365836121085122,-0.09309534846289341,-0.09372326030472929,-0.09377744652648126,-0.09374548005742898,-0.09377368886800869,-0.09350009641144358,-0.09380024840842177,-0.07741085079032588,-0.09170495350653653,-0.0937938093425495,-0.09375085646696359,-0.09339612351172444,-0.09366319622961708,-0.09379593508683126,-0.09375750903518444,-0.0937574913170136,-0.09377753515089345,-0.09231077064180995,-0.09379255575302467,-0.092933465342795,-0.09380032240010472,-0.09362029786491932,-0.09345406225745384,-0.09379312137662325,-0.09379829355869145,-0.09372091582096212,-0.0937915536554367,-0.09374761750191218,-0.09377405431992403,-0.09379842017558207,-0.09377775855148851,-0.09312266981774615,-0.09368127183410474
