"","Furanoid.lignans","Acyl.halides","Isobenzofurans","Furofurans","Indanes","Fluorenes","Angucyclines","Aryltetralin.lignans","Carboximidic.acids.and.derivatives","Perylenequinones","Oxanes","Pyridopyrimidines","Benzophenanthridine.alkaloids","Sphingolipids","Isoindoles.and.derivatives","Arylnaphthalene.lignans","Depsides.and.depsidones","Plumeran.type.alkaloids","Neoflavonoids","Glycerophospholipids","Peptidomimetics","Macrolactams","Strychnos.alkaloids","Pyrrolidines","Tetrahydrofurans","Unsaturated.hydrocarbons","Polycyclic.hydrocarbons","Lactams","Organic.phosphoric.acids.and.derivatives","Acenaphthylenes","Quinolizines","Imidazodiazepines","Allyl.type.1.3.dipolar.organic.compounds","Organic.oxides","Pteridines.and.derivatives","Azepanes"
"Fibrobacterota",0.3,-0.3,-0.8,0,-0.9,-0.3,-0.5,0.5,-0.6,0.6,-0.6,-0.8,-0.1,-0.1,0.2,-0.4,0,0.1,-0.7,0.6,0.3,0.7,0.9,0.4,0.9,-0.6,-0.8,0.1,0.7,0.9,-0.8,-0.9,0.8,0.1,-0.3,0.6
"Firmicutes",-0.6,-0.5,0.5,0.4,0.2,-0.1,-0.7,-0.7,0.3,0.7,-0.3,0.5,0.7,-0.7,-0.1,0.3,-0.3,-0.5,-0.6,0.3,-0.6,0.6,0.5,0.8,-0.2,0,-0.6,0.3,-0.4,-0.2,0.1,-0.5,-0.5,0.3,-0.5,0.3
"Fusobacteriota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL15",0.1,-0.6,-0.1,0,-0.3,-0.6,-1,0,0.3,0.7,-0.7,-0.1,0.8,-0.2,-0.1,-0.3,-0.5,0.2,-0.9,0.7,0.1,0.9,0.8,0.8,0.3,-0.2,-0.6,0.2,-0.1,0.3,-0.1,-0.8,0.1,0.2,-0.6,0.7
"Gemmatimonadota",1,0.3,-0.7,-0.8,-0.4,-0.3,-0.1,0.9,-0.1,-0.1,-0.5,-0.7,-0.1,0.9,0.3,-0.5,0.1,0.9,-0.2,0.1,1,0,0.1,-0.4,0.6,-0.4,0.2,0.1,0.2,0.6,-0.3,-0.1,0.7,-0.5,0.3,0.1
"Hydrogenedentes",-0.461690258438319,0.102597835208515,0.872081599272381,0.205195670417031,0.872081599272381,0.205195670417031,0.410391340834062,-0.615587011251092,0.66688592885535,-0.564288093646835,0.66688592885535,0.872081599272381,0.205195670417031,-0.102597835208515,-0.359092423229804,0.359092423229804,-0.153896752812773,-0.205195670417031,0.66688592885535,-0.461690258438319,-0.461690258438319,-0.564288093646835,-0.820782681668123,-0.205195670417031,-0.974679434480896,0.718184846459608,0.718184846459608,-0.205195670417031,-0.66688592885535,-0.974679434480896,0.872081599272381,0.820782681668123,-0.872081599272381,0.102597835208515,0.102597835208515,-0.461690258438319
"Latescibacterota",-0.4,-0.9,0.1,0.6,-0.3,-0.6,-0.8,-0.3,0.3,0.5,-0.2,0.1,0.7,-0.7,-0.5,-0.3,-0.7,-0.2,-0.6,0.8,-0.4,0.9,0.7,1,0,0.2,-0.6,-0.2,0.1,0,0.1,-0.7,-0.1,0.7,-0.9,0.8
"MBNT15",-0.4,-0.9,0.1,0.6,-0.3,-0.6,-0.8,-0.3,0.3,0.5,-0.2,0.1,0.7,-0.7,-0.5,-0.3,-0.7,-0.2,-0.6,0.8,-0.4,0.9,0.7,1,0,0.2,-0.6,-0.2,0.1,0,0.1,-0.7,-0.1,0.7,-0.9,0.8
"Methylomirabilota",0,-0.8,-0.3,0.3,-0.6,-0.7,-0.9,0.1,0.1,0.6,-0.5,-0.3,0.6,-0.4,-0.3,-0.5,-0.6,0.1,-0.8,0.9,0,1,0.9,0.9,0.4,-0.1,-0.7,-0.1,0.3,0.4,-0.2,-0.9,0.3,0.5,-0.8,0.9
"Myxococcota",0,0.7,-0.3,-0.2,-0.1,0.8,0.6,0.1,-0.9,0.1,0,-0.3,-0.9,0.1,0.7,0.5,0.9,-0.4,0.2,-0.6,0,-0.5,-0.1,-0.6,0.4,-0.6,-0.2,0.4,0.3,0.4,-0.7,0.1,0.3,-0.5,0.7,-0.6
