OTU ID,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
ASV_264,0,0,0,0,0
ASV_265,0,0,5,0,0
ASV_266,0,0,0,0,0
ASV_267,0,0,0,0,0
ASV_268,0,0,4,0,0
ASV_269,0,0,0,0,3
ASV_270,0,0,0,0,0
ASV_272,0,0,0,0,0
ASV_275,0,0,0,0,0
ASV_277,0,0,0,0,0
ASV_278,0,4,0,7,0
ASV_280,0,0,0,0,0
ASV_281,0,0,0,0,0
ASV_282,0,0,0,2,0
ASV_283,0,0,0,0,0
ASV_287,0,0,0,0,0
ASV_288,0,0,0,0,0
ASV_290,0,0,0,0,0
ASV_291,0,0,0,0,0
ASV_292,0,0,0,0,0
ASV_293,0,0,0,0,0
ASV_295,4,0,0,0,0
ASV_296,0,0,0,0,0
ASV_297,0,0,0,0,0
ASV_302,0,0,2,0,0
ASV_303,0,0,0,0,0
ASV_306,0,40,0,15,0
ASV_307,0,0,0,0,0
ASV_310,0,0,0,0,0
ASV_311,0,0,0,0,0
ASV_312,0,0,0,0,0
ASV_314,0,0,0,0,0
ASV_315,0,0,0,0,0
ASV_316,0,0,0,0,0
ASV_318,0,0,0,0,0
ASV_320,0,0,0,0,0
ASV_321,0,0,0,0,0
ASV_322,0,0,0,0,0
ASV_323,0,0,0,0,0
ASV_324,2,0,0,0,0
ASV_326,0,0,0,0,0
ASV_327,0,3,0,0,0
ASV_328,0,0,0,4,0
ASV_331,0,0,0,0,0
ASV_332,0,0,0,0,0
ASV_333,0,0,4,0,0
ASV_335,5,0,0,0,5
ASV_336,0,0,0,0,0
ASV_337,0,0,0,0,0
ASV_338,0,0,0,0,2
ASV_340,0,0,0,0,0
ASV_341,0,0,0,0,0
ASV_342,0,0,0,0,0
ASV_343,0,0,0,2,0
ASV_345,0,0,0,0,0
ASV_346,0,0,0,0,0
ASV_347,14,0,0,4,0
ASV_348,0,0,0,0,0
ASV_349,0,0,0,0,0
ASV_350,0,0,0,0,0
ASV_351,0,0,0,0,0
ASV_353,0,0,0,0,0
ASV_355,0,0,0,0,0
ASV_356,0,0,0,0,0
ASV_357,0,0,0,0,0
ASV_359,0,0,0,0,0
