Taxon,RDYS_1,RDYS_2,RDYS_3,RDYS_4,RDYS_5
d__Bacteria;p__Chloroflexi;c__unclassified_Chloroflexi,0.000160411,0.000242349,0.000204592,9.44E-05,0.000342852
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia,9.36E-05,0,4.38E-05,0,0.000979576
d__Bacteria;p__Cyanobacteria;c__Sericytochromatia,0.000481232,0.000121175,0.000599161,0.000769054,0.000604072
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,0.000173778,0.000242349,0.000189978,0.00012143,0.000146936
d__Bacteria;p__Dadabacteria;c__Dadabacteriia,0,0.000107711,5.85E-05,0.00012143,0.00013061
d__Bacteria;p__Deferribacterota;c__Deferribacteres,0,0,0,0,0
d__Bacteria;p__Deinococcota;c__Deinococci,0.000173778,4.04E-05,4.38E-05,2.70E-05,0.000293873
d__Bacteria;p__Dependentiae;c__Babeliae,0.000253984,0.000578945,0.00027766,0.000161906,3.27E-05
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,0,0,0,0,0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,0.000213881,0.000336596,0.000102296,6.75E-05,6.53E-05
d__Bacteria;p__Desulfobacterota;c__unclassified_Desulfobacterota,0,0,0,0,0
d__Bacteria;p__Desulfobacterota;c__uncultured,0.000935729,0.003581382,0.00166596,0.001403187,0.00013061
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,0.000173778,0.000228885,0.000189978,6.75E-05,0.000163263
d__Bacteria;p__Elusimicrobiota;c__Endomicrobia,0,8.08E-05,0,0,0
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa,0.000574805,0.000780903,0.000920662,0.00074207,0.000424483
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb,0.000253984,0.000296205,0.000189978,0.000229367,9.80E-05
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc,0,0.000255813,0,0,0
d__Bacteria;p__Entotheonellaeota;c__Entotheonellia,0.000989199,0.002962045,0.001695188,0.001983351,0.001714258
d__Bacteria;p__FCPU426;c__FCPU426,0,0,0,0,0
d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia,0,2.69E-05,0,0,0
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria,6.68E-05,0.000148102,0.000146137,0.000134922,0.000146936
d__Bacteria;p__Firmicutes;c__Bacilli,0.002954229,0.003204395,0.003887241,0.002603991,0.002122414
d__Bacteria;p__Firmicutes;c__Clostridia,2.67E-05,0,8.77E-05,0,0
d__Bacteria;p__Firmicutes;c__Desulfitobacteriia,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Desulfotomaculia,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Negativicutes,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Symbiobacteriia,0,0,7.31E-05,0,0
d__Bacteria;p__Firmicutes;c__unclassified_Firmicutes,0,0,0,0,0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,0,0,0,0,0
d__Bacteria;p__GAL15;c__GAL15,0.000481232,0.001319457,0.00455947,0.000634133,0.000555093
d__Bacteria;p__Gemmatimonadota;c__AKAU4049,0.000828788,0.002450419,0.004734835,0.001011914,0.000914271
d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group,0.001122875,0.001709908,0.000818366,0.001470648,0.001028555
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes,0.052387445,0.056978983,0.055342033,0.059325121,0.067721343
d__Bacteria;p__Gemmatimonadota;c__Longimicrobia,0.007659609,0.001561806,0.004705607,0.004506389,0.006677442
d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group,0.002726981,0.003123612,0.00094989,0.002496054,0.001322427
d__Bacteria;p__Gemmatimonadota;c__unclassified_Gemmatimonadota,0.000414394,8.08E-05,0,0,4.90E-05
d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia,0.00010694,0,2.92E-05,4.05E-05,0
d__Bacteria;p__Latescibacterota;c__Latescibacteria,0,0.000201958,0,0,0
d__Bacteria;p__Latescibacterota;c__Latescibacterota,0.001403593,0.006624211,0.003682649,0.003184155,0.001371406
d__Bacteria;p__MBNT15;c__MBNT15,0.000414394,0.001494487,0.000993731,0.000607148,0.000293873
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia,0.00732542,0.028637594,0.01625042,0.015435055,0.009077403
d__Bacteria;p__Myxococcota;c__Myxococcia,0.003823121,0.001669517,0.001870552,0.001389695,0.002775465
d__Bacteria;p__Myxococcota;c__Polyangia,0.01962357,0.015846943,0.014043753,0.015664422,0.031885194
d__Bacteria;p__Myxococcota;c__bacteriap25,0.004531601,0.006610747,0.006298499,0.004411943,0.003918303
d__Bacteria;p__Myxococcota;c__unclassified_Myxococcota,2.67E-05,0,0,9.44E-05,0.00013061
d__Bacteria;p__NB1-j;c__NB1-j,0.000441129,0.002073432,0.001841325,0.001065882,0.00052244
d__Bacteria;p__Nitrospirota;c__Leptospirillia,0,0,0,0,0
d__Bacteria;p__Nitrospirota;c__Nitrospiria,0.006683777,0.007432041,0.008841281,0.008095309,0.00555093
d__Bacteria;p__Patescibacteria;c__ABY1,6.68E-05,0.00017503,5.85E-05,5.40E-05,0
d__Bacteria;p__Patescibacteria;c__Berkelbacteria,8.02E-05,0.000215421,0.000160751,6.75E-05,0.000163263
d__Bacteria;p__Patescibacteria;c__Dojkabacteria,5.35E-05,0.000457771,7.31E-05,0.000175398,6.53E-05
d__Bacteria;p__Patescibacteria;c__Gracilibacteria,0.000213881,0.000538554,0.000336115,0.000350797,0.000114284
d__Bacteria;p__Patescibacteria;c__Kazania,0,0,0,0,0
d__Bacteria;p__Patescibacteria;c__Microgenomatia,2.67E-05,0.00017503,0.000116909,0.000323812,0.000114284
d__Bacteria;p__Patescibacteria;c__Parcubacteria,0.000668378,0.00122521,0.001139868,0.000701593,0.001077533
d__Bacteria;p__Patescibacteria;c__Saccharimonadia,0.002392792,0.006045265,0.007496822,0.004182576,0.002334656
d__Bacteria;p__Patescibacteria;c__WWE3,0,8.08E-05,2.92E-05,0,0
d__Bacteria;p__Patescibacteria;c__unclassified_Patescibacteria,9.36E-05,0,0,4.05E-05,3.27E-05
d__Bacteria;p__Patescibacteria;c__uncultured,2.67E-05,0.00017503,0.000306887,0,6.53E-05
d__Bacteria;p__Planctomycetota;c__028H05-P-BN-P5,2.67E-05,4.04E-05,0,0,0
d__Bacteria;p__Planctomycetota;c__BD7-11,2.67E-05,2.69E-05,4.38E-05,0,4.90E-05
d__Bacteria;p__Planctomycetota;c__OM190,0.002793819,0.005587495,0.002279735,0.002239702,0.001061207
d__Bacteria;p__Planctomycetota;c__Phycisphaerae,0.000908994,0.002638913,0.002206667,0.001119851,0.000571419
d__Bacteria;p__Planctomycetota;c__Pla3_lineage,8.02E-05,0.000376988,0.000189978,0.00012143,9.80E-05
d__Bacteria;p__Planctomycetota;c__Pla4_lineage,0.000227248,0.000323132,2.92E-05,0.000148414,0.000114284
d__Bacteria;p__Planctomycetota;c__Planctomycetes,0.002954229,0.001669517,0.003258852,0.002280179,0.004930532
d__Bacteria;p__Planctomycetota;c__unclassified_Planctomycetota,4.01E-05,5.39E-05,0,0,0
d__Bacteria;p__Planctomycetota;c__vadinHA49,0.000133676,0,0.000248433,5.40E-05,0.000979576
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.15451556,0.122494042,0.145698461,0.162472847,0.177874647
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.104534274,0.099053492,0.098072455,0.097534978,0.070741702
