ID,YS0_F,YS25_F,YS50_F,YS75_F,YS100_F,
MP11948.pos,388781.033,153991.8748,170933.1997,40786.97658,205691.6884,Unclassified
MP11950.pos,1052850.852,484982.6981,632857.7367,799382.3779,511260.377,Prenol lipids
MP11951.pos,403394.8282,900067.7488,119565.2946,89193.08835,260907.8119,Unclassified
MP11954.pos,144806.2247,405485.6298,108856.124,118147.1597,248456.6984,Unclassified
MP11955.pos,330763.0782,232460.8973,258044.1106,396799.9747,150449.5335,Unclassified
MP11956.pos,367109.8553,484088.6264,406866.0329,778014.9923,280881.684,Unclassified
MP11957.pos,14013.69639,48720.7815,12111.22351,190450.0844,22334.57316,Unclassified
MP11959.pos,333464.0041,234323.3752,209637.3457,222337.7312,151654.9511,Unclassified
MP11962.pos,464445.6786,727303.5441,610914.3448,836040.7601,496840.2272,Unclassified
MP11963.pos,401000.9296,688803.6426,136421.7105,67925.49919,61496.76374,Unclassified
MP11964.pos,227211.3962,960802.1623,77190.106,1144462.993,51898.01845,Unclassified
MP11979.pos,38908.38946,25012.71285,20871.8963,24636.09623,23712.70314,Unclassified
MP11981.pos,206204.975,200345.1333,276928.622,198843.2792,256666.1179,Unclassified
MP11982.pos,145041.6351,127522.9406,105796.6955,115630.0001,116627.9026,Unclassified
MP11984.pos,161577.6993,49806.16245,38097.3673,14186.21023,19076.82855,Unclassified
MP11986.pos,880795.8545,1329551.436,1139959.167,1207449.717,1089617.255,Unclassified
MP11990.pos,7762.034764,99412.7306,55424.45024,27168.32544,18388.19858,Unclassified
MP11992.pos,415889.942,530623.73,458435.8956,596911.2733,420902.6704,Unclassified
MP11993.pos,27890.97836,192485.0283,123562.6092,30273.63727,117729.0088,Unclassified
MP11994.pos,1378184.573,560128.52,1530896.499,761878.545,1474803.42,Unclassified
MP11995.pos,44095.43993,305819.9687,934746.7632,727012.9113,682159.3566,Unclassified
MP11996.pos,1156137.187,491997.9674,1207371.115,504709.4041,820154.8101,Pyrrolizidines
MP11997.pos,25458639.31,6536785.953,25554824.56,12416459.44,20264640.27,Unclassified
MP11998.pos,488399.0571,384025.2482,665249.3637,1517746.567,516007.1395,Unclassified
MP11999.pos,866908.0778,373631.7175,1066261.246,659621.7369,618309.8698,Pyrrolizidines
MP12000.pos,5839871.012,3943679.857,6994874.384,5757802.261,5893560.535,Unclassified
MP12001.pos,5708458.302,1631079.395,6005046.132,5051783.4,5657979.637,Unclassified
MP12002.pos,1969990.522,564526.4641,2072262.366,60406.74706,1725791.267,Unclassified
MP12004.pos,197210.2692,276838.383,2288761.622,63362.72686,239476.2765,Indoles and derivatives
MP12005.pos,3405548.675,2193007.887,1141728.681,3952441.938,2288763.002,Unclassified
MP12006.pos,166397.2939,137969.9019,185315.2881,191595.7052,213069.5585,Unclassified
